id	status	date	source
42733168	1	2018/12/1	android
42846784	1	2018/12/1	android
42974065	1	2018/12/1	android
42994272	1	2018/12/1	IOS
42999555	1	2018/12/1	android
43188547	1	2018/12/2	android
43406831	1	2018/12/1	android
43637886	1	2018/12/1	IOS
43825167	1	2018/12/1	android
43964102	1	2018/12/1	IOS
43979647	1	2018/12/1	android
44021732	1	2018/12/2	android
44238368	1	2018/12/1	android
44302283	1	2018/12/2	android
44359356	1	2018/12/1	android
44363035	1	2018/12/1	android
44385247	1	2018/12/1	android
44385247	1	2018/12/1	android
44429382	1	2018/12/1	android
44446151	1	2018/12/2	android
44447150	1	2018/12/1	android
44451172	1	2018/12/2	IOS
44456747	1	2018/12/1	android
44475190	1	2018/12/1	android
44475190	1	2018/12/2	android
44507397	1	2018/12/1	android
44545383	1	2018/12/2	android
42994272	1	2018/12/1	IOS
6843960	1	2018/12/12	android
9649893	1	2018/12/13	android
9690976	1	2018/12/13	android
9854368	1	2018/12/13	IOS
10180445	1	2018/12/12	IOS
10261068	1	2018/12/12	android
10570539	1	2018/12/13	IOS
10752399	1	2018/12/13	android
10823159	1	2018/12/13	android
11219174	1	2018/12/12	IOS
11468206	1	2018/12/13	android
11631138	1	2018/12/13	android
11721498	0	2018/12/12	IOS
12101454	1	2018/12/13	android
12321643	1	2018/12/13	IOS
13423871	1	2018/12/13	android
13495910	1	2018/12/13	android
14613728	1	2018/12/13	IOS
14656287	1	2018/12/12	IOS
15681862	1	2018/12/13	android
16004115	1	2018/12/12	android
16739491	1	2018/12/13	IOS
17483274	1	2018/12/13	IOS
18389196	1	2018/12/13	android
18880153	1	2018/12/13	android
19204658	1	2018/12/13	android
20897582	1	2018/12/13	android
29660985	0	2018/12/12	android
31378116	1	2018/12/13	android
32412644	1	2018/12/13	android
33351228	1	2018/12/13	android
34517261	1	2018/12/13	IOS
34990444	1	2018/12/13	android
35271730	1	2018/12/12	android
36013086	1	2018/12/12	IOS
36047717	1	2018/12/13	IOS
38759183	1	2018/12/13	android
38761881	0	2018/12/12	android
38909706	1	2018/12/13	android
40704849	1	2018/12/13	android
40738234	1	2018/12/13	android
41186208	1	2018/12/12	android
41423889	1	2018/12/13	android
41927773	1	2018/12/13	android
42021215	1	2018/12/13	android
42449381	1	2018/12/13	android
42690737	1	2018/12/13	IOS
43530247	1	2018/12/13	android
43574296	1	2018/12/13	android
44306935	1	2018/12/13	IOS
44799717	1	2018/12/13	android
44828491	1	2018/12/13	android
44833986	1	2018/12/13	android
44834819	1	2018/12/13	android
4280366	0	2018/12/15	android
4813481	1	2018/12/13	android
4864702	1	2018/12/15	android
6336149	1	2018/12/13	android
6400879	1	2018/12/15	android
9636422	0	2018/12/12	android
9672823	1	2018/12/15	android
9676631	0	2018/12/13	IOS
9677179	1	2018/12/13	IOS
9692860	1	2018/12/13	IOS
9704305	0	2018/12/13	IOS
9824285	0	2018/12/13	android
9848652	1	2018/12/13	android
9989836	1	2018/12/15	android
10098691	1	2018/12/13	IOS
10166975	1	2018/12/14	android
10172372	1	2018/12/13	IOS
10187867	1	2018/12/14	android
10214527	1	2018/12/13	android
10224648	1	2018/12/13	android
10302266	1	2018/12/14	IOS
10355444	0	2018/12/13	android
10382282	0	2018/12/13	IOS
10643733	0	2018/12/13	android
10661468	1	2018/12/13	android
10776306	1	2018/12/13	android
10815182	0	2018/12/14	android
10826012	1	2018/12/13	android
10858608	0	2018/12/14	android
10974078	1	2018/12/16	android
10998689	1	2018/12/13	android
11001631	1	2018/12/13	android
11346258	1	2018/12/14	android
11419041	1	2018/12/14	android
11591881	1	2018/12/14	android
11611863	1	2018/12/16	android
11666731	1	2018/12/13	android
11708810	1	2018/12/13	android
11763953	1	2018/12/14	android
11830408	1	2018/12/14	IOS
11978050	1	2018/12/13	android
11985321	1	2018/12/15	IOS
12104688	0	2018/12/15	android
12181917	0	2018/12/13	android
12390993	0	2018/12/14	android
12479834	0	2018/12/12	IOS
12521289	0	2018/12/13	android
12618488	0	2018/12/14	android
12633464	0	2018/12/13	IOS
12707740	1	2018/12/13	android
12714001	0	2018/12/13	android
12768495	1	2018/12/15	android
13225772	1	2018/12/13	android
13385058	0	2018/12/13	android
13619532	1	2018/12/13	android
13621065	1	2018/12/16	IOS
13709157	1	2018/12/15	android
13711180	0	2018/12/14	android
13875173	1	2018/12/13	android
